Date,Increase,Decrease,Tgt_level
2015-12-17,25.0,0.0,0.25.0.50
2016-12-15,25.0,0.0,0.50.0.75
2017-03-16,25.0,0.0,0.75.1.00
2017-06-15,25.0,0.0,1.00.1.25
2017-12-14,25.0,0.0,1.25.1.50
2018-03-22,25.0,0.0,1.50.1.75
2018-06-14,25.0,0.0,1.75.2.00
2018-09-27,25.0,0.0,2.00.2.25
2018-12-20,25.0,0.0,2.25.2.50
2019-08-01,0.0,25.0,2.00.2.25
2019-09-19,0.0,25.0,1.75.2.00
2019-10-31,0.0,25.0,1.50.1.75
2020-03-03,0.0,50.0,1.00.1.25
2020-03-16,0.0,100.0,0.0.25
2022-03-17,25.0,0.0,0.25.0.50
2022-05-05,50.0,0.0,0.75.1.00
2022-06-16,75.0,0.0,1.50.1.75
2022-07-28,75.0,0.0,2.25.2.50
2022-09-22,75.0,0.0,3.00.3.25
2022-11-03,75.0,0.0,3.75.4.00
2022-12-15,50.0,0.0,4.25.4.50
2023-02-02,25.0,0.0,4.50.4.75
2023-03-23,25.0,0.0,4.75.5.00
