Date,Value
12/2/15,1088000.0
12/3/15,1379000.0
12/4/15,1308000.0
12/7/15,712744.0
12/8/15,670998.0
12/9/15,1070000.0
12/10/15,1006000.0
12/11/15,1702000.0
12/14/15,1348000.0
12/15/15,1090000.0
12/16/15,1294000.0
12/17/15,1271000.0
12/18/15,1156000.0
12/21/15,802309.0
12/22/15,871728.0
12/23/15,1012000.0
12/24/15,462036.0
12/28/15,472874.0
12/29/15,734479.0
12/30/15,644697.0
12/31/15,943882.0
11/30/16,1265000.0
12/1/16,944999.0
12/2/16,1103000.0
12/5/16,995162.0
12/6/16,974101.0
12/7/16,1735000.0
12/8/16,1858000.0
12/9/16,1611000.0
12/12/16,1260000.0
12/13/16,1588000.0
12/14/16,1461000.0
12/15/16,1312000.0
12/16/16,1433000.0
12/19/16,877079.0
12/20/16,881441.0
12/21/16,934937.0
12/22/16,1036000.0
12/23/16,567006.0
12/27/16,571286.0
12/28/16,911281.0
12/29/16,783843.0
12/30/16,1166000.0
3/1/17,2120000.0
3/2/17,1316000.0
3/3/17,1319000.0
3/6/17,1114000.0
3/7/17,823042.0
3/8/17,1084000.0
3/9/17,950430.0
3/10/17,1107000.0
3/13/17,1123000.0
3/14/17,911642.0
3/15/17,1238000.0
3/16/17,1229000.0
3/17/17,1186000.0
3/20/17,1004000.0
3/21/17,1265000.0
3/22/17,1557000.0
3/23/17,1098000.0
3/24/17,1197000.0
3/27/17,1260000.0
3/28/17,1131000.0
3/29/17,854286.0
3/30/17,1020000.0
3/31/17,1267000.0
5/31/17,990784.0
6/1/17,1286000.0
6/2/17,1571000.0
6/5/17,895372.0
6/6/17,763992.0
6/7/17,925388.0
6/8/17,804702.0
6/9/17,1505000.0
6/12/17,883494.0
6/13/17,1002000.0
6/14/17,1230000.0
6/15/17,1228000.0
6/16/17,1066000.0
6/19/17,985352.0
6/20/17,945635.0
6/21/17,940810.0
6/22/17,810222.0
6/23/17,884350.0
6/26/17,902145.0
6/27/17,1035000.0
6/28/17,885556.0
6/29/17,1247000.0
6/30/17,1011000.0
11/29/17,1629000.0
11/30/17,2257000.0
12/1/17,2043000.0
12/4/17,1531000.0
12/5/17,1099000.0
12/6/17,1191000.0
12/7/17,1077000.0
12/8/17,1447000.0
12/11/17,1168000.0
12/12/17,1522000.0
12/13/17,1319000.0
12/14/17,1600000.0
12/15/17,1627000.0
