﻿Date,Increase,Decrease,Tgt_level
12/17/15,25,0,0.25-0.50
12/15/16,25,0,0.50-0.75
3/16/17,25,0,0.75-1.00
6/15/17,25,0,1.00-1.25
12/14/17,25,0,1.25-1.50
3/22/18,25,0,1.50-1.75
6/14/18,25,0,1.75-2.00
9/27/18,25,0,2.00-2.25
12/20/18,25,0,2.25-2.50
8/1/19,0,25,2.00-2.25
9/19/19,0,25,1.75-2.00
10/31/19,0,25,1.50-1.75
3/3/20,0,50,1.00-1.25
3/16/20,0,100,0-0.25
3/17/22,25,0,0.25-0.50
5/5/22,50,0,0.75-1.00
6/16/22,75,0,1.50-1.75
7/28/22,75,0,2.25-2.50
9/22/22,75,0,3.00-3.25
11/3/22,75,0,3.75-4.00
12/15/22,50,0,4.25-4.50
2/2/23,25,0,4.50-4.75
3/23/23,25,0,4.75-5.00
