Date,Value
12/2/15,1088000
12/3/15,1379000
12/4/15,1308000
12/7/15,712744
12/8/15,670998
12/9/15,1070000
12/10/15,1006000
12/11/15,1702000
12/14/15,1348000
12/15/15,1090000
12/16/15,1294000
12/17/15,1271000
12/18/15,1156000
12/21/15,802309
12/22/15,871728
12/23/15,1012000
12/24/15,462036
12/28/15,472874
12/29/15,734479
12/30/15,644697
12/31/15,943882
11/30/16,1265000
12/1/16,944999
12/2/16,1103000
12/5/16,995162
12/6/16,974101
12/7/16,1735000
12/8/16,1858000
12/9/16,1611000
12/12/16,1260000
12/13/16,1588000
12/14/16,1461000
12/15/16,1312000
12/16/16,1433000
12/19/16,877079
12/20/16,881441
12/21/16,934937
12/22/16,1036000
12/23/16,567006
12/27/16,571286
12/28/16,911281
12/29/16,783843
12/30/16,1166000
3/1/17,2120000
3/2/17,1316000
3/3/17,1319000
3/6/17,1114000
3/7/17,823042
3/8/17,1084000
3/9/17,950430
3/10/17,1107000
3/13/17,1123000
3/14/17,911642
3/15/17,1238000
3/16/17,1229000
3/17/17,1186000
3/20/17,1004000
3/21/17,1265000
3/22/17,1557000
3/23/17,1098000
3/24/17,1197000
3/27/17,1260000
3/28/17,1131000
3/29/17,854286
3/30/17,1020000
3/31/17,1267000
5/31/17,990784
6/1/17,1286000
6/2/17,1571000
6/5/17,895372
6/6/17,763992
6/7/17,925388
6/8/17,804702
6/9/17,1505000
6/12/17,883494
6/13/17,1002000
6/14/17,1230000
6/15/17,1228000
6/16/17,1066000
6/19/17,985352
6/20/17,945635
6/21/17,940810
6/22/17,810222
6/23/17,884350
6/26/17,902145
6/27/17,1035000
6/28/17,885556
6/29/17,1247000
6/30/17,1011000
11/29/17,1629000
11/30/17,2257000
12/1/17,2043000
12/4/17,1531000
12/5/17,1099000
12/6/17,1191000
12/7/17,1077000
12/8/17,1447000
12/11/17,1168000
12/12/17,1522000
12/13/17,1319000
12/14/17,1600000
12/15/17,1627000
12/18/17,1439000
12/19/17,1196000
12/20/17,1176000
12/21/17,990769
12/22/17,981470
12/26/17,788577
12/27/17,887024
12/28/17,876989
12/29/17,1285000
3/7/18,1138000
3/8/18,884435
3/9/18,2198000
3/12/18,1508000
3/13/18,1342000
3/14/18,1436000
3/15/18,1339000
3/16/18,1460000
3/19/18,1723000
3/20/18,1175000
3/21/18,1250000
3/22/18,1848000
3/23/18,2160000
3/26/18,1750000
3/27/18,1535000
3/28/18,1850000
3/29/18,1876000
4/2/18,1755000
4/3/18,1376000
4/4/18,1239000
4/5/18,1204000
4/6/18,1770000
5/30/18,1124000
5/31/18,1226000
6/1/18,1052000
6/4/18,980708
6/5/18,857134
6/6/18,1363000
6/7/18,1437000
6/8/18,1020000
6/11/18,1371000
6/12/18,1291000
6/13/18,1128000
6/14/18,1207000
6/15/18,1412000
6/18/18,1329000
6/19/18,970452
6/20/18,1304000
6/21/18,1073000
6/22/18,1039000
6/25/18,1630000
6/26/18,1052000
6/27/18,1307000
6/28/18,1289000
6/29/18,1195000
9/12/18,1178000
9/13/18,1269000
