Date,Value
6-Apr-23,2462000
5-Apr-23,2311000
4-Apr-23,2687000
3-Apr-23,2494000
31-Mar-23,3293000
30-Mar-23,2373000
29-Mar-23,2392000
28-Mar-23,2242000
27-Mar-23,2269000
24-Mar-23,2730000
23-Mar-23,3089000
22-Mar-23,2517000
21-Mar-23,2654000
20-Mar-23,2541000
17-Mar-23,2985000
16-Mar-23,3412000
15-Mar-23,3142000
14-Mar-23,3292000
13-Mar-23,3227000
10-Mar-23,4203000
9-Mar-23,3495000
8-Mar-23,2330000
17-Feb-23,2720000
16-Feb-23,3076000
15-Feb-23,2603000
14-Feb-23,3020000
13-Feb-23,2369000
10-Feb-23,2546000
9-Feb-23,2607000
8-Feb-23,2529000
7-Feb-23,2709000
6-Feb-23,2286000
3-Feb-23,2942000
2-Feb-23,3510000
1-Feb-23,2480000
31-Jan-23,2421000
30-Jan-23,2489000
27-Jan-23,2868000
26-Jan-23,2633000
25-Jan-23,2746000
24-Jan-23,2095000
23-Jan-23,3028000
20-Jan-23,2646000
19-Jan-23,2844000
18-Jan-23,3161000
30-Dec-22,2756000
29-Dec-22,2166000
28-Dec-22,2430000
27-Dec-22,1811000
23-Dec-22,2169000
22-Dec-22,2851000
21-Dec-22,2519000
20-Dec-22,2269000
19-Dec-22,2414000
16-Dec-22,2884000
15-Dec-22,3391000
14-Dec-22,2474000
13-Dec-22,3219000
12-Dec-22,2557000
9-Dec-22,2480000
8-Dec-22,2162000
7-Dec-22,2417000
6-Dec-22,3105000
5-Dec-22,2707000
2-Dec-22,2569000
1-Dec-22,2637000
30-Nov-22,3223000
18-Nov-22,2391000
17-Nov-22,2720000
16-Nov-22,2406000
15-Nov-22,3016000
14-Nov-22,2510000
11-Nov-22,3126000
10-Nov-22,3545000
9-Nov-22,2589000
8-Nov-22,2954000
7-Nov-22,2248000
4-Nov-22,3282000
3-Nov-22,2757000
2-Nov-22,2403000
1-Nov-22,2386000
31-Oct-22,2634000
28-Oct-22,3216000
27-Oct-22,2616000
26-Oct-22,3073000
25-Oct-22,2710000
24-Oct-22,2649000
21-Oct-22,3122000
20-Oct-22,2937000
19-Oct-22,2566000
7-Oct-22,3231000
6-Oct-22,2471000
5-Oct-22,2697000
4-Oct-22,3020000
3-Oct-22,2714000
30-Sep-22,3279000
29-Sep-22,2952000
28-Sep-22,2931000
27-Sep-22,3186000
26-Sep-22,2816000
23-Sep-22,3784000
22-Sep-22,3049000
21-Sep-22,2323000
20-Sep-22,2495000
19-Sep-22,2291000
16-Sep-22,2791000
15-Sep-22,2860000
14-Sep-22,2695000
13-Sep-22,3140000
12-Sep-22,2608000
9-Sep-22,2610000
8-Sep-22,2500000
7-Sep-22,2553000
12-Aug-22,2269000
11-Aug-22,2534000
10-Aug-22,2436000
9-Aug-22,1607000
8-Aug-22,2126000
5-Aug-22,2157000
4-Aug-22,1774000
3-Aug-22,2210000
2-Aug-22,2116000
1-Aug-22,2110000
29-Jul-22,2672000
28-Jul-22,2470000
27-Jul-22,2004000
26-Jul-22,1668000
25-Jul-22,1670000
22-Jul-22,2221000
21-Jul-22,2062000
20-Jul-22,2365000
19-Jul-22,2485000
18-Jul-22,2039000
15-Jul-22,2024000
14-Jul-22,2478000
13-Jul-22,2330000
1-Jul-22,2045000
30-Jun-22,2519000
29-Jun-22,2017000
28-Jun-22,2375000
27-Jun-22,1828000
24-Jun-22,2571000
23-Jun-22,1980000
22-Jun-22,2167000
21-Jun-22,2113000
17-Jun-22,2496000
16-Jun-22,3108000
15-Jun-22,2282000
14-Jun-22,2689000
13-Jun-22,3137000
10-Jun-22,2950000
9-Jun-22,2125000
8-Jun-22,1788000
7-Jun-22,1884000
6-Jun-22,1710000
3-Jun-22,1902000
2-Jun-22,1976000
1-Jun-22,2173000
20-May-22,2726000
19-May-22,2451000
18-May-22,2695000
17-May-22,1953000
16-May-22,2000000
13-May-22,2338000
12-May-22,2118000
11-May-22,2220000
10-May-22,2201000
9-May-22,2224000
6-May-22,2153000
5-May-22,1731000
4-May-22,1919000
3-May-22,1714000
2-May-22,2497000
29-Apr-22,2383000
28-Apr-22,1525000
27-Apr-22,2093000
26-Apr-22,1981000
25-Apr-22,2525000
22-Apr-22,2577000
21-Apr-22,1578000
20-Apr-22,1585000
1-Apr-22,1939000
31-Mar-22,2043000
30-Mar-22,1733000
29-Mar-22,1655000
28-Mar-22,1782000
25-Mar-22,1910000
24-Mar-22,1112000
23-Mar-22,1481000
22-Mar-22,1515000
21-Mar-22,1759000
18-Mar-22,1856000
17-Mar-22,1507000
16-Mar-22,1995000
15-Mar-22,1423000
14-Mar-22,1778000
11-Mar-22,1881000
10-Mar-22,1400000
9-Mar-22,1712000
8-Mar-22,1529000
7-Mar-22,1840000
4-Mar-22,1819000
3-Mar-22,1125000
2-Mar-22,1619000
1-Apr-20,1400000
31-Mar-20,1558000
30-Mar-20,1311000
27-Mar-20,1429000
26-Mar-20,1393000
25-Mar-20,1740000
24-Mar-20,1522000
23-Mar-20,1594000
20-Mar-20,1733000
19-Mar-20,1812000
18-Mar-20,2514000
17-Mar-20,1954000
16-Mar-20,1903000
13-Mar-20,3209000
12-Mar-20,3038000
11-Mar-20,2167000
10-Mar-20,2075000
9-Mar-20,2340000
6-Mar-20,2425000
5-Mar-20,1510000
4-Mar-20,2074000
3-Mar-20,1576000
2-Mar-20,2283000
18-Mar-20,2514000
17-Mar-20,1954000
16-Mar-20,1903000
13-Mar-20,3209000
12-Mar-20,3038000
11-Mar-20,2167000
10-Mar-20,2075000
9-Mar-20,2340000
6-Mar-20,2425000
5-Mar-20,1510000
4-Mar-20,2074000
3-Mar-20,1576000
2-Mar-20,2283000
28-Feb-20,3593000
27-Feb-20,2827000
26-Feb-20,2535000
25-Feb-20,2375000
24-Feb-20,2755000
21-Feb-20,1776000
20-Feb-20,1624000
19-Feb-20,1649000
18-Feb-20,1623000
15-Nov-19,1489000
14-Nov-19,1148000
13-Nov-19,1221000
12-Nov-19,976815
11-Nov-19,913839
8-Nov-19,1050000
7-Nov-19,1147000
6-Nov-19,#VALUE!
